f_menu,f_name,f_topic,f_ctype,f_buyers,anchor_n2,rank,rec_menu,rec_name,rec_topic,rec_ctype,rec_price,conf_pct,lift,pair_n,same_menu
39091,재회 타로 : 그 사람의 첫 연락,연애,타로,1146,978,3,2141,그 사람의 속마음,연애,타로,1500.0,7.2,1.39,70,0
39091,재회 타로 : 그 사람의 첫 연락,연애,타로,1146,978,4,2142,재회확률 높이는 법,연애,타로,1500.0,5.5,2.7,54,0
39091,재회 타로 : 그 사람의 첫 연락,연애,타로,1146,978,5,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애,사주,27000.0,5.5,3.5,54,0
50312,2025 을사년 하반기 애정운,연애,사주,1142,742,1,50344,[추가구매] 2025 을사년 하반기 애정운,연애,사주,9000.0,11.7,95.76,87,0
50312,2025 을사년 하반기 애정운,연애,사주,1142,742,2,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애,?,24000.0,5.9,4.6,44,0
50312,2025 을사년 하반기 애정운,연애,사주,1142,742,3,2141,그 사람의 속마음,연애,타로,1500.0,4.0,0.78,30,0
50312,2025 을사년 하반기 애정운,연애,사주,1142,742,4,49255,내 팔자에 새겨진 천년배필,연애,?,21000.0,3.9,4.33,29,0
50312,2025 을사년 하반기 애정운,연애,사주,1142,742,5,400,다시 만날 수 있을까,연애,타로,1500.0,3.6,0.89,27,0
49255,내 팔자에 새겨진 천년배필,연애,?,1114,775,1,42952,내 사주에 쓰인 운명의 배우자,연애,사주,18000.0,7.2,4.21,56,0
49255,내 팔자에 새겨진 천년배필,연애,?,1114,775,2,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애,?,24000.0,5.8,4.51,45,0
49255,내 팔자에 새겨진 천년배필,연애,?,1114,775,3,50312,2025 을사년 하반기 애정운,연애,사주,21750.0,5.8,5.49,45,0
49255,내 팔자에 새겨진 천년배필,연애,?,1114,775,4,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,사주,18000.0,4.8,3.84,37,0
49255,내 팔자에 새겨진 천년배필,연애,?,1114,775,5,21799,월지로 보는 인연: 배우자가 될 3명의 후보,연애,사주,18000.0,3.0,6.53,23,0
13663,어떤 사람과 사귈 운명일까?,연애,타로,1071,827,1,2505,지금 날 좋아하는 사람은?,연애,타로,1500.0,11.9,5.51,98,0
13663,어떤 사람과 사귈 운명일까?,연애,타로,1071,827,2,2141,그 사람의 속마음,연애,타로,1500.0,10.9,2.11,90,0
13663,어떤 사람과 사귈 운명일까?,연애,타로,1071,827,3,2227,동갑vs연하vs연상,연애,타로,1500.0,5.2,12.57,43,0
13663,어떤 사람과 사귈 운명일까?,연애,타로,1071,827,4,13663,어떤 사람과 사귈 운명일까?,연애,타로,1500.0,3.4,1.95,28,1
13663,어떤 사람과 사귈 운명일까?,연애,타로,1071,827,5,23187,이번 주에 만나게 될 인연은?,연애,타로,1500.0,3.4,10.74,28,0
23878,내 운명 지금 어디 있을까?,연애,사주,1058,867,1,21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,24000.0,5.0,2.8,43,0
23878,내 운명 지금 어디 있을까?,연애,사주,1058,867,2,22360,사주로 보는 내 결혼 상대는?,결혼,사주,18000.0,3.8,4.02,33,0
23878,내 운명 지금 어디 있을까?,연애,사주,1058,867,3,24572,"{{이름}}[[이의/의]] 운명의 인연, 언제 만날까?",연애,사주,18000.0,3.3,5.5,29,0
