anchor,anchor_name,anchor_n,rank,rec_menu,rec_name,rec_cat,pair_n,conf_pct,lift,wilson_lb_pct
42392,2025년 솔로 탈출 시기,348,4,42952,내 사주에 쓰인 운명의 배우자,연애/사주,12,3.4,1.84,2.0
42392,2025년 솔로 탈출 시기,348,5,13663,어떤 사람과 사귈 운명일까?,연애/타로,11,3.2,1.99,1.8
42754,그 사람과 나의 재회 공식 3가지,95,1,400,다시 만날 수 있을까,연애/타로,13,13.7,3.18,8.2
42952,내 사주에 쓰인 운명의 배우자,1120,1,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,38,3.4,2.42,2.5
42952,내 사주에 쓰인 운명의 배우자,1120,2,23878,내 운명 지금 어디 있을까?,연애/사주,36,3.2,2.4,2.3
42952,내 사주에 쓰인 운명의 배우자,1120,3,2505,지금 날 좋아하는 사람은?,연애/타로,34,3.0,1.43,2.2
42952,내 사주에 쓰인 운명의 배우자,1120,4,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,31,2.8,1.83,2.0
42952,내 사주에 쓰인 운명의 배우자,1120,5,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,29,2.6,1.31,1.8
43117,내 사주의 사랑운: 연애만? 결혼까지!,655,1,42952,내 사주에 쓰인 운명의 배우자,연애/사주,28,4.3,2.28,3.0
43117,내 사주의 사랑운: 연애만? 결혼까지!,655,2,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,25,3.8,2.52,2.6
43117,내 사주의 사랑운: 연애만? 결혼까지!,655,3,2141,그 사람의 속마음,연애/타로,22,3.4,0.62,2.2
43117,내 사주의 사랑운: 연애만? 결혼까지!,655,4,2505,지금 날 좋아하는 사람은?,연애/타로,20,3.1,1.44,2.0
43117,내 사주의 사랑운: 연애만? 결혼까지!,655,5,49255,내 팔자에 새겨진 천년배필,연애/사주,20,3.1,2.86,2.0
43216,2025년 신년운세 보고서,429,1,42952,내 사주에 쓰인 운명의 배우자,연애/사주,18,4.2,2.24,2.7
43216,2025년 신년운세 보고서,429,2,2141,그 사람의 속마음,연애/타로,17,4.0,0.73,2.5
43216,2025년 신년운세 보고서,429,3,18705,나는 결혼해도 되는 사주일까?,결혼/사주,10,2.3,3.55,1.3
43513,2025 을사년 운세: 사랑과 인연,1629,1,2141,그 사람의 속마음,연애/타로,81,5.0,0.91,4.0
43513,2025 을사년 운세: 사랑과 인연,1629,2,42952,내 사주에 쓰인 운명의 배우자,연애/사주,78,4.8,2.55,3.9
43513,2025 을사년 운세: 사랑과 인연,1629,3,400,다시 만날 수 있을까,연애/타로,62,3.8,0.88,3.0
43513,2025 을사년 운세: 사랑과 인연,1629,4,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,54,3.3,2.19,2.5
43513,2025 을사년 운세: 사랑과 인연,1629,5,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,53,3.3,2.32,2.5
43683,[창광] 25년 을사년 사랑운과 인연운,289,1,42952,내 사주에 쓰인 운명의 배우자,연애/사주,12,4.2,2.21,2.4
43683,[창광] 25년 을사년 사랑운과 인연운,289,2,13663,어떤 사람과 사귈 운명일까?,연애/타로,12,4.2,2.61,2.4
43685,[창광] 25년 을사년 직업운과 합격운,151,1,2425,이달의 합격운,학업직업/사주,11,7.3,31.37,4.1
43685,[창광] 25년 을사년 직업운과 합격운,151,2,2202,사주로 보는 직업운,학업직업/사주,11,7.3,7.54,4.1
43686,"[창광] 신년운세 통합본 ""2025년 을사년""",189,1,42952,내 사주에 쓰인 운명의 배우자,연애/사주,14,7.4,3.95,4.5
44108,2025년에 찾아올 두 명의 인연,174,1,42952,내 사주에 쓰인 운명의 배우자,연애/사주,11,6.3,3.37,3.6
44108,2025년에 찾아올 두 명의 인연,174,2,13663,어떤 사람과 사귈 운명일까?,연애/타로,10,5.7,3.61,3.2
44899,임신 타로: 이번 달 우리 아기 찾아올까?,105,1,34636,내 사주에 자녀 몇 명일까?: 타고난 재능과 성공운까지,가족자녀/사주,10,9.5,37.56,5.3
45097,헤어진 X와 재회할 수 있을까?,171,1,2142,재회확률 높이는 법,연애/타로,14,8.2,3.98,4.9
45097,헤어진 X와 재회할 수 있을까?,171,2,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,13,7.6,4.01,4.5
45097,헤어진 X와 재회할 수 있을까?,171,3,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애/타로,13,7.6,5.56,4.5
45097,헤어진 X와 재회할 수 있을까?,171,4,400,다시 만날 수 있을까,연애/타로,13,7.6,1.76,4.5
45097,헤어진 X와 재회할 수 있을까?,171,5,47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",연애/타로,11,6.4,10.86,3.6
