anchor,anchor_name,anchor_nX,rank,rec_menu,rec_name,rec_cat,co_n,conf_pct,lift
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1409,6,19192,타고난 결혼운 + 내 운명의 상대,결혼/사주,32,2.3,2.49
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1409,7,22360,사주로 보는 내 결혼 상대는?,결혼/사주,31,2.2,1.89
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1409,8,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,28,2.0,1.34
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1409,9,18705,나는 결혼해도 되는 사주일까?,결혼/사주,28,2.0,3.21
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,1409,10,42952,내 사주에 쓰인 운명의 배우자,연애/사주,26,1.8,0.8
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,2301,1,49255,내 팔자에 새겨진 천년배필,연애/사주,102,4.4,4.44
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,2301,2,50312,2025 을사년 하반기 애정운,연애/사주,97,4.2,4.0
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,2301,3,43513,2025 을사년 운세: 사랑과 인연,연애/사주,95,4.1,1.37
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,2301,4,42952,내 사주에 쓰인 운명의 배우자,연애/사주,89,3.9,1.68
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,2301,5,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,87,3.8,2.54
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,2301,6,2141,그 사람의 속마음,연애/타로,85,3.7,0.81
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,2301,7,2505,지금 날 좋아하는 사람은?,연애/타로,53,2.3,1.27
