anchor,anchor_name,anchor_topic,anchor_n,rank,rec_menu,rec_name,source,score_pct,pair_n
2273,전생 알아보기,자기탐구|*,271,2,2141,그 사람의 속마음,관심사,3.3,21
2273,전생 알아보기,자기탐구|*,271,3,18668,사주로 보는 성격유형,관심사,2.7,17
2273,전생 알아보기,자기탐구|*,271,4,18702,내 사주로 연예인이 된다면?,관심사,2.4,15
2273,전생 알아보기,자기탐구|*,271,5,2203,사주로 보는 건강운,관심사,2.2,14
2283,(미상:2283),일반운세|*,14,1,2202,사주로 보는 직업운,관심사,3.3,117
2283,(미상:2283),일반운세|*,14,2,2165,사주로 보는 재물운,관심사,2.9,102
2283,(미상:2283),일반운세|*,14,3,21964,내 사주에 연애 상대 몇 명 있을까?,관심사,2.2,76
2283,(미상:2283),일반운세|*,14,4,28729,내 운이 트이는 동네는?(서울편),관심사,2.0,69
2283,(미상:2283),일반운세|*,14,5,2141,그 사람의 속마음,관심사,1.9,67
2295,부모님이랑 왜 부딪칠까,일반운세|*,2,1,2202,사주로 보는 직업운,관심사,3.3,117
2295,부모님이랑 왜 부딪칠까,일반운세|*,2,2,2165,사주로 보는 재물운,관심사,2.9,102
2295,부모님이랑 왜 부딪칠까,일반운세|*,2,3,21964,내 사주에 연애 상대 몇 명 있을까?,관심사,2.2,76
2295,부모님이랑 왜 부딪칠까,일반운세|*,2,4,28729,내 운이 트이는 동네는?(서울편),관심사,2.0,69
