anchor,anchor_name,anchor_n,rank,rec_menu,rec_name,rec_cat,pair_n,conf_pct,lift,wilson_lb_pct
40510,(미상:40510),668,4,13663,어떤 사람과 사귈 운명일까?,연애/타로,29,4.3,2.5,3.0
40510,(미상:40510),668,5,31435,지금 날 간절히 원하는 사람 누구일까?,연애/타로,14,2.1,3.06,1.3
40708,"이별, 그 후… 너와 나의 속마음",141,1,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,11,7.8,4.96,4.4
41402,(미상:41402),1697,1,2141,그 사람의 속마음,연애/타로,86,5.1,0.98,4.1
41402,(미상:41402),1697,2,2505,지금 날 좋아하는 사람은?,연애/타로,56,3.3,1.53,2.5
41402,(미상:41402),1697,3,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,49,2.9,1.63,2.2
41402,(미상:41402),1697,4,400,다시 만날 수 있을까,연애/타로,49,2.9,0.71,2.2
41402,(미상:41402),1697,5,42952,내 사주에 쓰인 운명의 배우자,연애/사주,42,2.5,1.44,1.8
41764,(미상:41764),401,1,2141,그 사람의 속마음,연애/타로,22,5.5,1.06,3.7
41764,(미상:41764),401,2,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,15,3.7,2.11,2.3
41764,(미상:41764),401,3,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,14,3.5,2.8,2.1
41764,(미상:41764),401,4,2505,지금 날 좋아하는 사람은?,연애/타로,13,3.2,1.51,1.9
41764,(미상:41764),401,5,42952,내 사주에 쓰인 운명의 배우자,연애/사주,10,2.5,1.45,1.4
42028,(미상:42028),215,1,2202,사주로 보는 직업운,학업직업/사주,21,9.8,7.75,6.5
42028,(미상:42028),215,2,2425,이달의 합격운,학업직업/사주,16,7.4,28.05,4.6
42062,사주 살풀이: 타고난 살과 2025년의 살,258,1,2165,사주로 보는 재물운,재물금전/사주,10,3.9,5.31,2.1
42392,2025년 솔로 탈출 시기,601,1,2505,지금 날 좋아하는 사람은?,연애/타로,41,6.8,3.17,5.1
42392,2025년 솔로 탈출 시기,601,2,23878,내 운명 지금 어디 있을까?,연애/사주,19,3.2,2.78,2.0
42392,2025년 솔로 탈출 시기,601,3,42952,내 사주에 쓰인 운명의 배우자,연애/사주,16,2.7,1.55,1.6
42392,2025년 솔로 탈출 시기,601,4,13663,어떤 사람과 사귈 운명일까?,연애/타로,16,2.7,1.53,1.6
42392,2025년 솔로 탈출 시기,601,5,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,15,2.5,2.0,1.5
